번호,GMP 품목군,구분
27,의료용 경(I) (Medical Speculum(I)),A31000 의료용 경 Speculums for medical use
28,의료용 경(II) (Medical Speculum(II)),A31000 의료용 경(4등급) Speculums for medical use(4 class)
29,의료처치용 기계기구(I) (Machine or Instrument for Medical Treatment(I)),A41000 의료용 칼 Knives for medical use
29,의료처치용 기계기구(I) (Machine or Instrument for Medical Treatment(I)),A42000 의료용 가위 Scissors for medical use
29,의료처치용 기계기구(I) (Machine or Instrument for Medical Treatment(I)),A43000 의료용 큐렛 Curettes for medical use
29,의료처치용 기계기구(I) (Machine or Instrument for Medical Treatment(I)),A44000 의료용 클램프 Clamp for medical use
29,의료처치용 기계기구(I) (Machine or Instrument for Medical Treatment(I)),A45000 의료용 겸자 Forceps for medical use
29,의료처치용 기계기구(I) (Machine or Instrument for Medical Treatment(I)),A46000 의료용 톱 Saw for medical use
29,의료처치용 기계기구(I) (Machine or Instrument for Medical Treatment(I)),A47000 의료용 끌 Chisel for medical use
29,의료처치용 기계기구(I) (Machine or Instrument for Medical Treatment(I)),A48000 의료용 박리자 Raspatories for medical use
29,의료처치용 기계기구(I) (Machine or Instrument for Medical Treatment(I)),A49000 의료용 망치 Mallet for medical use
29,의료처치용 기계기구(I) (Machine or Instrument for Medical Treatment(I)),A80000 헤르니아 치료용 기구 Hernia supporters
29,의료처치용 기계기구(I) (Machine or Instrument for Medical Treatment(I)),A62000 의료용 충전기 Filling instruments for medical use
29,의료처치용 기계기구(I) (Machine or Instrument for Medical Treatment(I)),A63000 의료용 누르개 Depressors for medical use
30,의료처치용 기계기구(II) (Machine or Instrument for Medical Treatmen(II)),A50000 의료용 줄 File for medical use
30,의료처치용 기계기구(II) (Machine or Instrument for Medical Treatmen(II)),A51000 의료용 레버 Lever for medical use
30,의료처치용 기계기구(II) (Machine or Instrument for Medical Treatmen(II)),A52000 의료용 올가미 Snare for medical use
30,의료처치용 기계기구(II) (Machine or Instrument for Medical Treatmen(II)),"A55000 의료용 천자기, 천착기 및 천공기 Puncturing, abrasion, perforating instrument for medical use"
30,의료처치용 기계기구(II) (Machine or Instrument for Medical Treatmen(II)),A56000 개창 또는 개공용 기구 Wound retractors and speculums
30,의료처치용 기계기구(II) (Machine or Instrument for Medical Treatmen(II)),A59000 의료용 확장기 Dilator and expander for medical use
30,의료처치용 기계기구(II) (Machine or Instrument for Medical Treatmen(II)),A60000 의료용 도포기 Applicator for medical use
30,의료처치용 기계기구(II) (Machine or Instrument for Medical Treatmen(II)),A61000 혼합 및 분배용 기구 Dispenser and Mixing instrument
30,의료처치용 기계기구(II) (Machine or Instrument for Medical Treatmen(II)),A65000 의료용 세정기 Douche instruments for medical use
30,의료처치용 기계기구(II) (Machine or Instrument for Medical Treatmen(II)),A81000 의료용 흡입기 Inhalators for medical use
31,주사기 및 주사침류 (Syringe or Needle),A53000 주사침 및 천자침 Needle for syringe and puncture
31,주사기 및 주사침류 (Syringe or Needle),A54000 주사기 Syringes
31,주사기 및 주사침류 (Syringe or Needle),A84000 침 또는 구용기구 Acupuncture and moxibustion apparatus
32,의료용 취관 및 체액 유도관(I) (Tube and Catheter for medical use(I)),A57000 의료용 취관 및 체액 유도관 Tube and Catheter for medical use
33,의료용 취관 및 체액 유도관(II) (Tube and Catheter for medical use(II)),"A57000 의료용 취관 및 체액 유도관(3,4등급) Tube and Catheter for medical use(3,4 class)"
34,채혈 또는 수혈 및 생체 검사용 기구(I) (Blood donor or transfusion and biopsy set(I)),A66000 채혈 또는 수혈 및 생체 검사용 기구 Blood donor or transfusion and biopsy set
35,채혈 또는 수혈 및 생체 검사용 기구(II) (Blood donor or transfusion and biopsy set(II)),"A66000 채혈 또는 수혈 및 생체 검사용 기구(3,4등급) Blood donor or transfusion and biopsy set(3,4 class)"
36,의약품 주입기(I) (Infusion instruments(I)),A79000 의약품 주입기 Infusion instruments
37,의약품 주입기(II) (Infusion instruments(II)),"A79000 의약품 주입기(3,4등급) Infusion instruments(3,4 class)"
38,치과처치용 기계 기구 (Machine or Device for Dental Treatment),A69000 치과용 엔진 Dental engine
38,치과처치용 기계 기구 (Machine or Device for Dental Treatment),A70000 치과용 브로치 Broaches for dental use
38,치과처치용 기계 기구 (Machine or Device for Dental Treatment),A71000 치과용 탐침 Explorers for dental use
38,치과처치용 기계 기구 (Machine or Device for Dental Treatment),A72000 치과용 방습기 Moisture-excluding instruments for dental use
38,치과처치용 기계 기구 (Machine or Device for Dental Treatment),A73000 인상 채득 또는 교합용 기구 Impression taking and articulating instruments
38,치과처치용 기계 기구 (Machine or Device for Dental Treatment),A74000 치과용 중합기 Vulcanizers and curing units for dental use
39,시력보정용 안경 (Sight corrective spectacles),A76000 시력보정용 안경 Sight corrective spectacles
40,눈 적용 렌즈(I) (Ophthalmic lens(I)),A77000 눈 적용 렌즈 Ophthalmic lens
41,눈 적용 렌즈(II) (Ophthalmic lens(II)),"A77000 눈 적용 렌즈(3,4등급) Ophthalmic lens(3,4 class)"
42,보청기 (Hearing Aid),A78000 보청기 Hearing Aid
43,의료용 물질 생성기 (EquipmentGenera tingMedicalSubsta nce),A86000 의료용 물질 생성기 Medicinal substance-producing equipment
44,봉합사 및 결찰사(I) (Suture and ligature),B02000 봉합사 및 결찰사 Suture and ligature
45,봉합사 및 결찰사(II) (Suture and ligature),"B02000 봉합사 및 결찰사(3,4등급) Suture and ligature(3,4 class)"
46,정형용품I(관절류 등) (Orthopedic materials(Internal total etc)),"B03000 정형용품, B03410.01(정형용품II(재료) 제외) Orthopedic materials(except for Orthopedic materials II)"
47,정형용품II(재료) (Orthopedic materials),"B03190, B03240, B03260, B03280~B03400"
48,체내삽입용 치과용품 (Interbody Implants for Medical Purpose),C18000 악안면 성형용 재료 Maxillofacial Plastic Material
48,체내삽입용 치과용품 (Interbody Implants for Medical Purpose),C19000 악골 치아 고정장치 Maxillary Bone Fixation Material
48,체내삽입용 치과용품 (Interbody Implants for Medical Purpose),"C21000 치과 임플란트 시술기구 implant, endosseous, hand instrument"
